Model,Price,Kilometer,Seller Type,Engine,Max Power,Max Torque,Seating Capacity,Age,Make_BMW,Make_Chevrolet,Make_Datsun,Make_Ferrari,Make_Fiat,Make_Ford,Make_Honda,Make_Hyundai,Make_Isuzu,Make_Jaguar,Make_Jeep,Make_Kia,Make_Lamborghini,Make_Land Rover,Make_Lexus,Make_MG,Make_MINI,Make_Mahindra,Make_Maruti Suzuki,Make_Maserati,Make_Mercedes-Benz,Make_Mitsubishi,Make_Nissan,Make_Porsche,Make_Renault,Make_Rolls-Royce,Make_Skoda,Make_Ssangyong,Make_Tata,Make_Toyota,Make_Volkswagen,Make_Volvo,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + CNG,Fuel Type_Petrol + LPG,Transmission_Manual,Owner_First,Owner_Fourth,Owner_Second,Owner_Third,Owner_UnRegistered Car
Swift VXi [2014-2017],600000,10000,Individual,1197.0,83.0,115 Nm @ 4000 rpm,5.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Seltos GTX Plus AT 1.5 Diesel [2019-2020],1835000,33828,Individual,1493.0,114.0,250 Nm @ 1500 rpm,5.0,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Wagon R LXi 1.0 CNG [2019-2020],550000,48000,Individual,998.0,58.0,78 Nm @ 3500 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Vitara Brezza ZDi+ Dual Tone [2017-2018],715000,71000,Individual,1248.0,89.0,200 Nm @ 1750 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
XUV700 AX 7 Diesel AT 7 STR,2540000,18000,Individual,2184.0,182.0,450 Nm @ 1750 rpm,7.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Wagon R LXi (O) 1.0 CNG [2019-2020],525000,50000,Individual,998.0,58.0,78 Nm @ 3500 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],425000,48000,Individual,1197.0,81.0,114 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Elite i20 Sportz 1.2 IVT,795000,4000,Individual,1197.0,87.0,115 Nm @ 1500 rpm,5.0,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
City 1.5 V MT,269000,73000,Individual,1497.0,118.0,146@4600,5.0,14,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
Fortuner 4x2 AT,1450000,170669,Individual,2982.0,171.0,343 @1400,7.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Verna Fluidic 1.6 CRDi,565000,68000,Individual,1582.0,128.0,260 Nm @ 1900 rpm,5.0,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
5-Series 520d Luxury Line,2550000,70000,Individual,1995.0,190.0,400 Nm @ 1750 rpm,5.0,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
i20 Active 1.2 S,529000,57654,Individual,1197.0,82.0,115 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Alto VXi (O),400000,22000,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Vento Trendline Diesel,360000,80000,Individual,1498.0,116.0,,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
XL6 Zeta MT Petrol,975000,41792,Individual,1462.0,103.0,138 Nm @ 4400 rpm,6.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
X1 sDrive20d Expedition,2600000,41000,Individual,1995.0,188.0,400 Nm @ 1750 rpm,5.0,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
GL-Class 350 CDI,2390000,107021,Individual,2987.0,258.0,619 Nm @ 1600 rpm,7.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Seltos GTX Plus 1.4 [2020-2021],1550000,17000,Individual,1353.0,138.0,242 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Alto VXi AMT,430000,57993,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Tigor EV XZ Plus,1275000,18000,Individual,1498.0,116.0,,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Baleno Delta 1.2,600000,32000,Individual,1197.0,83.0,115 Nm @ 4000 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Corolla Altis VL AT Petrol,1650000,25914,Corporate,1798.0,138.0,173 Nm @ 4000 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
XF 3.0 V6 Premium Luxury,3350000,49235,Individual,1498.0,116.0,,,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Q7 Technology 55 TFSI,9400000,4500,Individual,2995.0,335.0,500 Nm @ 1370 rpm,7.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Alto VXi,250000,114000,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
XUV500 W10 AT,994999,105000,Individual,2179.0,138.0,330 Nm @ 1600 rpm,7.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Vitara Brezza LDi (O) [2016-2018],675000,45000,Individual,1248.0,89.0,200 Nm @ 1750 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Swift DZire VXI,455000,30183,Individual,1197.0,85.0,114 Nm @ 4000 rpm,5.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Polo Comfortline 1.2L (D),375000,78000,Individual,1498.0,116.0,,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
Wagon R VXI,345000,73190,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
X1 sDrive20i xLine,4700000,13120,Individual,1998.0,189.0,280 Nm @ 1350 rpm,5.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Elantra 1.8 SX MT,700000,64000,Individual,1797.0,147.0,177 Nm @ 4700 rpm,5.0,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
City E Diesel,499000,140000,Individual,1498.0,99.0,200 Nm @ 1750 rpm,5.0,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Ciaz VXi,590000,39000,Individual,1373.0,91.0,130 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Micra XV CVT [2016-2017],490000,56918,Individual,1198.0,76.0,104 Nm @ 4400 rpm,5.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
DZire VDi AMT,695000,55000,Individual,1248.0,74.0,190 Nm @ 2000 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Venue SX 1.4 CRDi,1025000,42000,Individual,1396.0,89.0,220 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Tiguan AllSpace 2.0 TSI,3375000,25000,Individual,1984.0,188.0,320 Nm @ 1500 rpm,7.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Innova 2.4 VX 8 STR [2016-2020],2250000,28000,Individual,2393.0,148.0,343 Nm @ 1400 rpm,8.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
GLA 200 d Sport,2650000,43000,Individual,2143.0,134.0,300 Nm @ 1600 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Baleno Delta 1.2,715000,16000,Individual,1197.0,83.0,115 Nm @ 4000 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Creta SX 1.6 AT CRDi,1200000,27657,Individual,1582.0,126.0,260 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Eon 1.0 Kappa Magna + [2014-2016],275000,30000,Individual,998.0,68.0,94 Nm @ 3500 rpm,5.0,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
City 1.5 V MT,445000,111000,Individual,1497.0,116.0,146 Nm @ 4800 rpm,5.0,12,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
A-Class A 200d,1850000,37600,Individual,2143.0,134.0,300 Nm @ 1400 rpm,4.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Baleno Alpha 1.3,665000,48000,Individual,1248.0,74.0,190 Nm @ 2000 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Creta EX 1.4 CRDi,1090000,37000,Individual,1396.0,89.0,220 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
S-Class S 350 CDI,5500000,54000,Individual,2987.0,255.0,620 Nm @ 1600 rpm,5.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
A6 35 TDI Matrix,2400000,81802,Individual,1968.0,190.0,400 Nm @ 1750 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Verna SX Plus 1.6 CRDi AT,1085000,45915,Individual,1582.0,126.0,260 Nm @ 1500 rpm,5.0,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Alcazar Signature (O) 6 STR 2.0 Petrol AT,2140000,24000,Individual,1999.0,157.0,191 Nm @ 4500 rpm,6.0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Amaze 1.2 V CVT Petrol [2018-2020],795000,22224,Individual,1199.0,89.0,110 Nm @ 4800 rpm,5.0,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Ertiga VXI CNG,1080000,38000,Individual,1373.0,94.0,130 Nm @ 4000 rpm,7.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Amaze 1.2 S MT Petrol [2018-2020],628000,53848,Individual,1199.0,89.0,110 Nm @ 4800 rpm,5.0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
3-Series 320d Luxury Line,1550000,104264,Individual,1995.0,188.0,400 Nm @ 1750 rpm,5.0,11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
E-Class E 200,2400000,61159,Individual,1991.0,184.0,300 Nm @ 1200 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
City VX (O) MT,595000,72000,Individual,1497.0,117.0,145 Nm @ 4600 rpm,5.0,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Evoque SE,3450000,29000,Individual,2179.0,188.0,420 Nm @ 1750 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
WR-V VX MT Petrol,819999,42000,Individual,1199.0,89.0,110 Nm @ 4800 rpm,5.0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Q5 2.0 TDI quattro Premium Plus,1490000,40000,Individual,1968.0,174.0,380 Nm @ 1750 rpm,5.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
XUV300 1.5 W6 [2019-2020],950000,57400,Individual,1497.0,115.0,300 Nm @ 1500 rpm,5.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
XF Prestige Diesel CBU,3750000,13500,Individual,1999.0,177.0,430 Nm @ 1750 rpm,5.0,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
C-Class C200 Progressive,4950000,12400,Individual,1991.0,201.0,300 Nm @ 1200 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Compass Model S (O) Diesel 4x4 AT,2950000,38000,Individual,1956.0,168.0,350 Nm @ 1750 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Hector Sharp 1.5 DCT Petrol [2019-2020],1625000,7000,Individual,1451.0,141.0,250 Nm @ 1600 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Fortuner 3.0 4x4 MT,1290000,121000,Individual,2982.0,169.0,343 Nm @ 1400 rpm,7.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
Etios Liva GD,625000,76000,Individual,1364.0,67.0,170 Nm @ 1800 rpm,5.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
XUV500 W10,1490000,50000,Individual,2179.0,138.0,330 Nm @ 1600 rpm,7.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
i10 Asta 1.2 AT with Sunroof,325000,46721,Individual,1197.0,80.0,111@4000,5.0,11,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
XUV500 W10 AT,1190000,41470,Individual,2179.0,138.0,330 Nm @ 1600 rpm,7.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Scorpio VLX 2WD Airbag BS-IV,625000,170000,Individual,2179.0,120.0,290 Nm @ 1800 rpm,8.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
Range Rover Sport SDV6 HSE,5375000,80000,Individual,2993.0,289.0,600 Nm @ 2000 rpm,5.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
City ZX CVT Petrol [2017-2019],1138000,6000,Corporate,1497.0,117.0,145 Nm @ 4600 rpm,5.0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
A4 1.8 TFSI Multitronic Premium Plus,4250000,17000,Individual,1798.0,170.0,320 Nm @ 1400 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Brio S MT,365000,31000,Individual,1198.0,87.0,109 Nm @ 4500 rpm,5.0,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Cruze LTZ AT,475000,73265,Individual,1998.0,164.0,380 Nm @ 2000 rpm,5.0,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Creta SX 1.6 CRDi,1225000,47000,Individual,1582.0,126.0,260 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Ertiga VDI SHVS,725000,42000,Individual,1248.0,89.0,200 Nm @ 1750 rpm,7.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
GLA 200 CDI Sport,2450000,25000,Individual,2143.0,134.0,300 Nm @ 1600 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Sonata 2.0 CRDi,225000,140000,Individual,1991.0,142.0,323@2000,5.0,15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
DZire VXi AMT,695000,68818,Individual,1197.0,82.0,113 Nm @ 4200 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Innova 2.8 ZX AT 7 STR [2016-2020],2200000,57000,Individual,2755.0,172.0,360 Nm @ 1200 rpm,7.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Amaze 1.5 VX CVT Diesel,950000,39000,Individual,1498.0,79.0,160 Nm @ 1750 rpm,5.0,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Innova ZX 2.7 AT 7 STR,2598000,12050,Individual,2694.0,164.0,245 Nm @ 4000 rpm,7.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Jazz VX Petrol,585000,24100,Individual,1199.0,89.0,110 Nm @ 4800 rpm,5.0,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Aspire Titanium 1.2 Ti-VCT,434999,23000,Individual,1196.0,87.0,112 Nm @ 4000 rpm,5.0,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Swift VDi,295000,185000,Individual,1248.0,75.0,190@2000,5.0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Ciaz Delta 1.5 Diesel,910000,76000,Individual,1498.0,94.0,225 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Celerio VXi,565000,47000,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Urban Cruiser Premium Grade AT,1050000,1910,Individual,1462.0,103.0,138 Nm @ 4400 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Creta E Plus 1.4 CRDI,990000,23000,Individual,1396.0,89.0,224 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
